ticker,date,open,high,low,close
STORJ,2022-05-14,0.547068,0.552459,0.476397,0.535496
STORJ,2022-05-15,0.536048,0.584997,0.527314,0.584797
STORJ,2022-05-16,0.586096,0.597882,0.521274,0.547687
STORJ,2022-05-17,0.549185,0.588693,0.532254,0.586595
STORJ,2022-05-18,0.587195,0.636871,0.531209,0.543293
STORJ,2022-05-19,0.545989,0.572784,0.496853,0.542657
STORJ,2022-05-20,0.542257,0.578737,0.516579,0.531009
STORJ,2022-05-21,0.531561,0.562368,0.514382,0.535803
STORJ,2022-05-22,0.534005,0.648021,0.534005,0.580702
STORJ,2022-05-23,0.580802,0.624275,0.573311,0.583998
STORJ,2022-05-24,0.582542,0.582542,0.527466,0.570757
STORJ,2022-05-25,0.571698,0.585996,0.543701,0.563479
STORJ,2022-05-26,0.565121,0.579362,0.498002,0.531368
STORJ,2022-05-27,0.532613,0.544155,0.48981,0.509839
STORJ,2022-05-28,0.510817,0.530211,0.498082,0.521789
STORJ,2022-05-29,0.52068,0.556931,0.509195,0.544395
STORJ,2022-05-30,0.547392,0.598681,0.536714,0.592285
STORJ,2022-05-31,0.592585,0.602318,0.558209,0.578437
STORJ,2022-06-01,0.580136,0.611973,0.550294,0.556099
STORJ,2022-06-02,0.552713,0.614347,0.551203,0.593066
STORJ,2022-06-03,0.592067,0.602457,0.555372,0.573101
STORJ,2022-06-04,0.5737,0.575205,0.541936,0.558275
STORJ,2022-06-05,0.560674,0.585678,0.545558,0.579455
STORJ,2022-06-06,0.580953,0.631594,0.576064,0.601394
STORJ,2022-06-07,0.602693,0.61078,0.554734,0.589046
STORJ,2022-06-08,0.590909,0.607093,0.565843,0.575825
STORJ,2022-06-09,0.575426,0.587823,0.556216,0.563226
STORJ,2022-06-10,0.563421,0.56563,0.505184,0.51904
STORJ,2022-06-11,0.519839,0.527241,0.461954,0.476461
STORJ,2022-06-12,0.475857,0.479467,0.419603,0.442355
STORJ,2022-06-13,0.441652,0.441652,0.347578,0.368387
STORJ,2022-06-14,0.367093,0.373912,0.333619,0.352477
STORJ,2022-06-15,0.351774,0.387673,0.328711,0.385521
STORJ,2022-06-16,0.385321,0.518777,0.375049,0.456406
STORJ,2022-06-17,0.426107,0.523729,0.417228,0.495005
STORJ,2022-06-18,0.491909,0.493008,0.400997,0.420813
STORJ,2022-06-19,0.422111,0.594847,0.418122,0.542494
STORJ,2022-06-20,0.542793,0.679348,0.519676,0.618319
STORJ,2022-06-21,0.619955,0.789531,0.61792,0.69893
STORJ,2022-06-22,0.69953,0.734465,0.61948,0.626373
STORJ,2022-06-23,0.626872,1.01898,0.613486,0.913386
STORJ,2022-06-24,0.913885,0.986812,0.87862,0.927966
STORJ,2022-06-25,0.92907,0.9989,0.875504,0.926851
STORJ,2022-06-26,0.926051,0.92756,0.822898,0.850181
STORJ,2022-06-27,0.850672,0.850672,0.757203,0.779314
STORJ,2022-06-28,0.780213,0.849966,0.723054,0.745082
STORJ,2022-06-29,0.745075,0.835321,0.706766,0.722425
STORJ,2022-06-30,0.72373,0.72891,0.637396,0.661605
STORJ,2022-07-01,0.6715,0.7135,0.6365,0.649
STORJ,2022-07-02,0.6495,0.7115,0.643,0.6795
STORJ,2022-07-03,0.683878,0.685377,0.63471,0.6515
STORJ,2022-07-04,0.6535,0.657,0.618,0.6545
STORJ,2022-07-05,0.658709,0.717238,0.625311,0.646488
STORJ,2022-07-06,0.646888,0.695234,0.62641,0.688941
STORJ,2022-07-07,0.69004,0.814303,0.685545,0.769838
STORJ,2022-07-08,0.770437,0.809252,0.735658,0.746052
STORJ,2022-07-09,0.745153,0.76664,0.713172,0.738956
STORJ,2022-07-10,0.736884,0.741855,0.674495,0.690685
STORJ,2022-07-11,0.690585,0.714171,0.649415,0.652412
STORJ,2022-07-12,0.651444,0.655344,0.623276,0.623776
STORJ,2022-07-13,0.623395,0.644655,0.568274,0.622239
STORJ,2022-07-14,0.623139,0.652908,0.606015,0.638852
STORJ,2022-07-15,0.639816,0.710302,0.637517,0.686294
STORJ,2022-07-16,0.687294,0.693392,0.653738,0.686194
STORJ,2022-07-17,0.686721,0.705466,0.661674,0.676924
STORJ,2022-07-18,0.676924,0.709986,0.661368,0.681243
STORJ,2022-07-19,0.680496,0.715507,0.66724,0.712807
STORJ,2022-07-20,0.712814,0.755838,0.65862,0.682934
STORJ,2022-07-21,0.681641,0.682482,0.630269,0.66826
STORJ,2022-07-22,0.66806,0.682509,0.638996,0.646842
STORJ,2022-07-23,0.6466,0.676927,0.637057,0.653124
STORJ,2022-07-24,0.653231,0.671513,0.651007,0.667127
STORJ,2022-07-25,0.667133,0.674428,0.606367,0.619056
