ticker,date,open,high,low,close
C98,2022-05-14,0.512128,0.514124,0.512128,0.513126
C98,2022-05-15,0.49231,0.535357,0.482276,0.535357
C98,2022-05-16,0.537354,0.553391,0.478377,0.503345
C98,2022-05-17,0.505342,0.531415,0.475334,0.514331
C98,2022-05-18,0.51638,0.543347,0.464396,0.470388
C98,2022-05-19,0.473384,0.511539,0.448461,0.489559
C98,2022-05-20,0.48856,0.50844,0.463397,0.475429
C98,2022-05-21,0.477426,0.655147,0.476428,0.651152
C98,2022-05-22,0.650154,0.673124,0.567262,0.59129
C98,2022-05-23,0.595285,0.698231,0.593287,0.650219
C98,2022-05-24,0.648221,0.705082,0.604274,0.6911
C98,2022-05-25,0.694097,0.762008,0.647222,0.662204
C98,2022-05-26,0.662271,0.695234,0.567375,0.603396
C98,2022-05-27,0.603396,0.607392,0.530416,0.542457
C98,2022-05-28,0.54338,0.568397,0.529343,0.559345
C98,2022-05-29,0.558329,0.57237,0.523476,0.564379
C98,2022-05-30,0.564373,0.751474,0.561382,0.698441
C98,2022-05-31,0.69951,0.863309,0.68452,0.693445
C98,2022-06-01,0.694444,0.719424,0.619318,0.634428
C98,2022-06-02,0.633429,0.650414,0.613386,0.639424
C98,2022-06-03,0.640423,0.654411,0.581348,0.600477
C98,2022-06-04,0.600477,0.61853,0.572404,0.616531
C98,2022-06-05,0.61753,0.653398,0.607574,0.6374
C98,2022-06-06,0.6374,0.76239,0.633404,0.726389
C98,2022-06-07,0.723385,0.747424,0.675425,0.714414
C98,2022-06-08,0.715406,0.741555,0.671503,0.708539
C98,2022-06-09,0.708539,0.736418,0.684493,0.709404
C98,2022-06-10,0.710403,0.789392,0.652288,0.66815
C98,2022-06-11,0.669149,0.70924,0.594262,0.609311
C98,2022-06-12,0.609311,0.625293,0.53125,0.570298
C98,2022-06-13,0.567296,0.567296,0.420369,0.453369
C98,2022-06-14,0.453373,0.515211,0.424363,0.468437
C98,2022-06-15,0.466435,0.521426,0.433219,0.51922
C98,2022-06-16,0.52,0.5244,0.4629,0.4821
C98,2022-06-17,0.473341,0.5168,0.473336,0.497802
C98,2022-06-18,0.4994,0.5132,0.428365,0.451268
C98,2022-06-19,0.451268,0.500399,0.441364,0.490362
C98,2022-06-20,0.4902,0.527419,0.4727,0.500449
C98,2022-06-21,0.497452,0.574425,0.496404,0.530416
C98,2022-06-22,0.529417,0.5994,0.50844,0.518481
C98,2022-06-23,0.517482,0.557442,0.50949,0.524475
C98,2022-06-24,0.525474,0.553573,0.525474,0.548572
C98,2022-06-25,0.548572,0.562578,0.51365,0.541621
C98,2022-06-26,0.541621,0.562606,0.525679,0.539665
C98,2022-06-27,0.539665,0.539665,0.486547,0.506544
C98,2022-06-28,0.50555,0.512508,0.47551,0.489397
C98,2022-06-29,0.487395,0.488418,0.457395,0.472428
C98,2022-06-30,0.47443,0.477422,0.430461,0.44946
C98,2022-07-01,0.451458,0.482469,0.446464,0.4688
C98,2022-07-02,0.468,0.4789,0.4519,0.476
C98,2022-07-03,0.478425,0.481422,0.457359,0.472385
C98,2022-07-05,0.484418,0.49945,0.466486,0.495454
C98,2022-07-06,0.493457,0.514433,0.471434,0.505443
C98,2022-07-07,0.50844,0.527472,0.498451,0.519688
C98,2022-07-08,0.520687,0.534625,0.495702,0.513692
C98,2022-07-09,0.51464,0.543674,0.508695,0.527683
C98,2022-07-10,0.52763,0.529682,0.487707,0.495702
C98,2022-07-11,0.493704,0.494703,0.461584,0.462583
C98,2022-07-12,0.461584,0.461584,0.443512,0.448551
C98,2022-07-13,0.448569,0.461538,0.416541,0.439604
C98,2022-07-14,0.438605,0.468719,0.434652,0.458725
C98,2022-07-15,0.458725,0.482759,0.456726,0.477857
C98,2022-07-16,0.479856,0.487183,0.458862,0.476857
C98,2022-07-17,0.477871,0.505868,0.47192,0.485869
C98,2022-07-18,0.486873,0.52299,0.477852,0.506883
C98,2022-07-19,0.505848,0.578994,0.501955,0.559089
C98,2022-07-20,0.559,0.573034,0.49699,0.510026
C98,2022-07-21,0.509046,0.512082,0.470056,0.497119
C98,2022-07-22,0.496119,0.512123,0.470042,0.478105
C98,2022-07-23,0.477,0.506995,0.470042,0.479091
C98,2022-07-24,0.481096,0.504985,0.481091,0.491093
C98,2022-07-25,0.492093,0.497099,0.445049,0.452036
C98,2022-07-26,0.453041,0.454045,0.415012,0.424064
C98,2022-07-27,0.424,0.464195,0.424,0.464107
C98,2022-07-28,0.463111,0.507106,0.460968,0.503101
C98,2022-07-29,0.503131,0.520953,0.479139,0.502206
C98,2022-07-30,0.502206,0.549203,0.492172,0.521177
C98,2022-07-31,0.521156,0.543119,0.499145,0.52012
C98,2022-08-01,0.517134,0.528211,0.485068,0.489147
C98,2022-08-02,0.489147,0.501195,0.462139,0.485082
C98,2022-08-03,0.484097,0.500105,0.459115,0.488122
C98,2022-08-04,0.487117,0.583041,0.470089,0.558017
C98,2022-08-05,0.559017,0.633057,0.559017,0.600114
C98,2022-08-06,0.601114,0.606036,0.578116,0.580133
C98,2022-08-07,0.579127,0.597113,0.562135,0.589112
C98,2022-08-08,0.590112,0.604133,0.571069,0.576069
C98,2022-08-09,0.577069,0.584105,0.523084,0.527105
C98,2022-08-10,0.526105,0.554255,0.511148,0.543157
C98,2022-08-11,0.543157,0.572217,0.541211,0.558262
C98,2022-08-12,0.558279,0.56028,0.531265,0.550253
C98,2022-08-13,0.550248,0.568335,0.547246,0.556217
C98,2022-08-14,0.555222,0.57619,0.528137,0.53416
C98,2022-08-15,0.53416,0.553138,0.519125,0.529127
C98,2022-08-16,0.529132,0.532106,0.50402,0.508046
C98,2022-08-17,0.509046,0.523073,0.465023,0.471033
C98,2022-08-18,0.471033,0.479043,0.458037,0.466005
C98,2022-08-19,0.466047,0.466047,0.39,0.40104
C98,2022-08-20,0.40204,0.44308,0.391976,0.406
C98,2022-08-21,0.405992,0.434013,0.405984,0.422992
C98,2022-08-22,0.422992,0.431009,0.388946,0.392933
C98,2022-08-23,0.392941,0.414996,0.380989,0.409004
C98,2022-08-24,0.409959,0.423983,0.400996,0.417038
C98,2022-08-25,0.417038,0.443022,0.408992,0.427013
C98,2022-08-26,0.427996,0.429034,0.390988,0.399036
C98,2022-08-27,0.399036,0.400036,0.368,0.371011
C98,2022-08-28,0.370011,0.388016,0.369007,0.379
C98,2022-08-29,0.377996,0.426026,0.362964,0.419029
C98,2022-08-30,0.422042,0.448031,0.408008,0.437039
